x,y,z,chlorophyll,conductivity,depth,dissolved_oxygen(% Sat),dissolved_oxygen(mg/L),ammonia_nitrogen,salinity,algal_protein,total_dissolved_solids,turbidity,temperature,PH,longitude,latitude,PH(mv),gcj_lon,gcj_lat
13434810.51,3672316.454,-0.249,1.82,405.04,0.249,68.31,5.58,2.61,0.19,0.253,260.17,13.44,25.624,7.77,120.6869562,31.30418323,-125.85,120.6912499,31.30211763
13434810.46,3672316.517,-0.249,1.91,405.03,0.249,68.37,5.58,2.61,0.19,0.263,260.17,13.38,25.624,7.77,120.6869558,31.30418371,-125.82,120.6912495,31.30211811
13434810.43,3672316.572,-0.248,1.93,405.02,0.248,68.41,5.58,2.61,0.19,0.283,260.16,13.37,25.624,7.77,120.6869555,31.30418413,-125.81,120.6912492,31.30211853
13434810.41,3672316.633,-0.249,1.9,404.99,0.249,68.44,5.59,2.61,0.19,0.283,260.15,13.46,25.624,7.77,120.6869553,31.3041846,-125.81,120.691249,31.302119
13434810.41,3672316.696,-0.249,1.88,404.97,0.249,68.46,5.59,2.61,0.19,0.303,260.14,13.4,25.623,7.77,120.6869553,31.30418508,-125.8,120.691249,31.30211948
13434810.41,3672316.755,-0.249,1.88,404.94,0.249,68.46,5.59,2.61,0.19,0.283,260.12,13.45,25.622,7.77,120.6869553,31.30418554,-125.78,120.691249,31.30211994
13434810.59,3672316.797,-0.249,1.87,404.94,0.249,68.46,5.59,2.61,0.19,0.283,260.13,13.64,25.621,7.77,120.6869569,31.30418586,-125.75,120.6912507,31.30212026
13434810.54,3672315.823,-0.249,1.84,404.85,0.249,68.45,5.59,2.61,0.19,0.273,260.07,13.71,25.62,7.77,120.6869565,31.30417838,-125.71,120.6912502,31.30211278
13434810.43,3672314.951,-0.249,1.86,404.86,0.249,68.42,5.58,2.61,0.19,0.273,260.08,13.62,25.62,7.77,120.6869555,31.30417169,-125.66,120.6912492,31.30210608
13434810.08,3672313.948,-0.25,1.81,404.96,0.25,68.38,5.58,2.61,0.19,0.263,260.14,13.4,25.62,7.77,120.6869524,31.30416399,-125.62,120.6912461,31.30209838
13434810.25,3672314.046,-0.25,1.85,405.06,0.25,68.32,5.58,2.61,0.19,0.253,260.21,13.28,25.621,7.77,120.6869539,31.30416474,-125.54,120.6912476,31.30209913
13434811.09,3672315.572,-0.25,1.85,405.02,0.25,68.24,5.57,2.61,0.19,0.253,260.17,13.22,25.622,7.77,120.6869614,31.30417646,-125.44,120.6912552,31.30211087
13434812.2,3672316.696,-0.25,1.84,405.05,0.25,68.19,5.57,2.61,0.19,0.243,260.18,13.05,25.623,7.77,120.6869714,31.30418508,-125.36,120.6912652,31.30211951
13434813.31,3672317.033,-0.25,1.87,404.94,0.25,68.16,5.56,2.61,0.19,0.233,260.11,12.93,25.624,7.76,120.6869814,31.30418767,-125.29,120.6912752,31.30212212
13434813.98,3672317.154,-0.25,1.94,404.99,0.25,68.14,5.56,2.61,0.19,0.223,260.13,12.77,25.625,7.76,120.6869874,31.3041886,-125.22,120.6912812,31.30212306
13434814.87,3672317.636,-0.25,1.92,404.96,0.25,68.13,5.56,2.61,0.19,0.233,260.12,12.77,25.625,7.76,120.6869954,31.3041923,-125.17,120.6912892,31.30212678
13434816.17,3672317.124,-0.25,1.93,404.88,0.25,68.16,5.56,2.61,0.19,0.223,260.07,12.82,25.624,7.76,120.6870071,31.30418837,-125.12,120.691301,31.30212286
13434817.62,3672315.54,-0.251,1.93,404.81,0.251,68.23,5.57,2.61,0.19,0.223,260.03,12.81,25.623,7.76,120.6870201,31.30417621,-125.03,120.691314,31.30211072
13434819.08,3672313.867,-0.251,1.93,404.87,0.251,68.31,5.57,2.61,0.19,0.233,260.07,12.77,25.622,7.76,120.6870332,31.30416337,-124.96,120.6913271,31.3020979
13434821.19,3672313.122,-0.251,1.88,404.78,0.251,68.38,5.58,2.61,0.19,0.263,260.02,12.64,25.622,7.76,120.6870522,31.30415765,-124.9,120.6913461,31.30209222
13434823.71,3672312.803,-0.252,1.9,404.69,0.252,68.48,5.59,2.61,0.19,0.273,259.96,12.57,25.622,7.76,120.6870748,31.3041552,-124.86,120.6913688,31.30208981
13434826.32,3672312.085,-0.252,1.96,404.58,0.252,68.61,5.6,2.61,0.19,0.273,259.88,12.55,25.623,7.76,120.6870982,31.30414969,-124.83,120.6913922,31.30208434
13434829.03,3672311.033,-0.252,1.92,404.24,0.252,68.81,5.62,2.61,0.19,0.283,259.66,12.32,25.625,7.76,120.6871226,31.30414162,-124.85,120.6914167,31.30207631
13434832.18,3672309.906,-0.252,1.97,399.16,0.252,69.06,5.64,2.61,0.19,0.293,256.39,12.43,25.627,7.76,120.6871509,31.30413297,-124.89,120.691445,31.30206771
13434835.44,3672308.603,-0.252,2.06,395.04,0.252,69.34,5.66,2.61,0.19,0.313,253.73,12.61,25.629,7.76,120.6871802,31.30412297,-124.92,120.6914744,31.30205776
13434838.62,3672307.538,-0.252,2.14,398.2,0.252,69.64,5.68,2.61,0.19,0.343,255.76,12.93,25.629,7.76,120.6872087,31.30411479,-124.96,120.6915029,31.30204962
13434841.84,3672306.553,-0.252,2.09,398.65,0.252,69.91,5.71,2.61,0.19,0.363,256.04,13.22,25.63,7.76,120.6872377,31.30410723,-125,120.691532,31.30204211
13434845.02,3672305.457,-0.252,2.11,398.62,0.252,70.13,5.72,2.61,0.19,0.383,256.03,13.4,25.63,7.76,120.6872662,31.30409882,-125.03,120.6915606,31.30203375
13434848.16,3672304.204,-0.253,2.11,398.71,0.253,70.28,5.74,2.61,0.19,0.403,256.08,13.49,25.629,7.76,120.6872944,31.3040892,-125.08,120.6915888,31.30202418
13434851.32,3672303.053,-0.253,2.14,397.79,0.253,70.35,5.74,2.61,0.19,0.413,255.49,13.54,25.628,7.76,120.6873228,31.30408037,-125.16,120.6916173,31.3020154
13434854.51,3672301.98,-0.253,2.1,397.19,0.253,70.4,5.75,2.61,0.19,0.423,255.12,13.79,25.628,7.76,120.6873515,31.30407213,-125.26,120.691646,31.30200721
13434857.67,3672300.812,-0.253,2.1,396.15,0.253,70.41,5.75,2.61,0.19,0.433,254.45,13.82,25.627,7.77,120.6873799,31.30406317,-125.36,120.6916745,31.3019983
13434860.85,3672299.658,-0.253,2.17,395.27,0.253,70.4,5.75,2.61,0.19,0.443,253.89,13.47,25.626,7.77,120.6874084,31.30405431,-125.44,120.691703,31.30198948
13434864.03,3672298.541,-0.253,2.22,376.08,0.253,70.41,5.75,2.61,0.18,0.453,241.56,13.42,25.626,7.77,120.687437,31.30404574,-125.52,120.6917317,31.30198096
13434867.28,3672297.438,-0.253,2.16,394.34,0.253,70.44,5.75,2.61,0.19,0.443,253.29,14.1,25.626,7.77,120.6874662,31.30403727,-125.58,120.691761,31.30197254
13434870.49,3672296.34,-0.253,2.18,399.88,0.253,70.49,5.75,2.62,0.19,0.433,256.85,14.21,25.626,7.77,120.687495,31.30402884,-125.63,120.6917898,31.30196416
